title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. Los Jazmines,"Ur. Los Jazmines, Santiago de Surco, Lima, Lima ",USD600,1 dormitorio,1 baño,60 m²,,S/.160,Apartamento,Alquiler,Hace 3 días - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-1023-6c87af383539-ee4faa81-8551-48d1
Apartamento en alquiler en Ur. Miramar,"Ur. Miramar, San Miguel, Lima, Lima ","S/.1,700",3 dormitorios,2 baños,70 m²,,S/.85,Apartamento,Alquiler,"Hace 2 días, 20 horas - Publicado por Acceso Bienes Raices",https://www.properati.com.pe/detalle/14032-32-dce3-45a88e9a9ac2-e466d010-b704-120d
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",USD850,2 dormitorios,3 baños,84 m²,2015,S/.317,Apartamento,Alquiler,"Hace 2 días, 20 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-e369-1bd90cad45c2-dca51e45-b277-48fc
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ","USD1,000",4 dormitorios,4 baños,147 m²,,,Apartamento,Alquiler,"Hace 2 días, 22 horas - Publicado por RealWasi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-dccb-33903b59aae6-d7961930-a459-120d
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,400",2 dormitorios,2 baños,150 m²,,S/.650,Apartamento,Alquiler,"Hace 1 día, 22 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-41f3-8e0b7feab1e1-d05b3071-b49a-4a38
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Jesús María, Lima, Lima ","S/.2,300",3 dormitorios,2 baños,76 m²,2016,S/.140,Apartamento,Alquiler,"Hace 1 día, 23 horas - Publicado por CBR GRUPO INMOBILIARIO S.A.C.",https://www.properati.com.pe/detalle/14032-32-31ee-bf04ba3051a0-a0b196b1-a562-4cb6
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ","USD1,200",3 dormitorios,2 baños,140 m²,2005,,Apartamento,Alquiler,"Hace 4 días, 5 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-738-76e177df3cdd-bcc72e08-9b9e-4210
Apartamento en alquiler en Ur. Maranga Etapa Vi,"Ur. Maranga Etapa Vi, San Miguel, Lima, Lima ","S/.2,500",2 dormitorios,2 baños,124 m²,1966,,Apartamento,Alquiler,"Hace 4 días, 5 horas - Publicado por REMAX FAMILY",https://www.properati.com.pe/detalle/14032-32-6d97-a3e8bc6ea16e-b0fad95e-99dc-4f8c
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",USD510,1 dormitorio,1 baño,55 m²,2022,,Apartamento,Alquiler,28 feb. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-3519-7da18e9db76c-950dc6a6-96bb-4320
Apartamento en alquiler en Ur. Los Cipreses,"Ur. Los Cipreses, Lima, Lima, Lima ","S/.1,000",1 dormitorio,1 baño,40 m²,2003,S/.90,Apartamento,Alquiler,"Hace 2 días, 14 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-dcc3-76bdd651460f-841fe7d3-b69b-4392
